Band gap,Density(g/cm^3),ID,Space Group No,Volume(A^3/atoms),ave:atomic_number,ave:en_pauling,ave:first_ion_en,ave:mendeleev_number,ave:num_d_unfilled,ave:num_d_valence,ave:num_f_unfilled,ave:num_f_valence,ave:num_p_unfilled,ave:num_p_valence,ave:num_s_unfilled,ave:num_s_valence,ave:num_unfilled,ave:num_valance,ave:period,max:atomic_number,max:en_pauling,max:first_ion_en,max:mendeleev_number,max:num_d_unfilled,max:num_d_valence,max:num_f_unfilled,max:num_f_valence,max:num_p_unfilled,max:num_p_valence,max:num_s_unfilled,max:num_s_valence,max:num_unfilled,max:num_valance,max:period,min:atomic_number,min:en_pauling,min:first_ion_en,min:mendeleev_number,min:num_d_unfilled,min:num_d_valence,min:num_f_unfilled,min:num_f_valence,min:num_p_unfilled,min:num_p_valence,min:num_s_unfilled,min:num_s_valence,min:num_unfilled,min:num_valance,min:period,var:atomic_number,var:en_pauling,var:first_ion_en,var:mendeleev_number,var:num_d_unfilled,var:num_d_valence,var:num_f_unfilled,var:num_f_valence,var:num_p_unfilled,var:num_p_valence,var:num_s_unfilled,var:num_s_valence,var:num_unfilled,var:num_valance,var:period,Flag
1.9094,6.75570187464241,mp-32780,141,28.563782109126468,48.0,2.78,11.09658,84.5,0.0,5.0,0.0,7.0,0.5,2.5,0.5,1.5,1.0,16.0,4.5,79.0,3.16,12.96763,99.0,0.0,10.0,0.0,14.0,1.0,5.0,1.0,2.0,1.0,25.0,6.0,17.0,2.4,9.22553,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,3.0,961.0,0.1444,3.500828102500001,210.25,0.0,25.0,0.0,49.0,0.25,6.25,0.25,0.25,0.0,81.0,2.25,False
3.6486,3.8186298904442895,mp-560882,26,16.085032680292517,16.666666666666664,3.1433333333333326,12.329496666666666,98.33333333333331,0.0,3.333333333333333,0.0,0.0,2.0,4.0,0.0,2.0,2.0,9.333333333333332,2.6666666666666665,34.0,3.44,13.61805,101.0,0.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,16.0,4.0,8.0,2.55,9.75239,93.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,2.0,6.0,2.0,150.22222222222223,0.1760222222222222,3.3207393856888885,14.22222222222222,0.0,22.22222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22222222222222,0.8888888888888888,False
4.0901,1.1119062610941837,mp-33024,1,16.96321930271753,6.0,2.3266666666666667,12.518965333333332,100.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.6666666666666663,16.0,2.58,13.598443,103.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0,6.0,3.0,1.0,2.2,10.36001,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,49.99999999999999,0.0320888888888888,2.3305440656642205,18.0,0.0,0.0,0.0,0.0,0.888888888888889,3.555555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,5.555555555555555,0.8888888888888888,False
0.0,8.759738507397547,mp-17391,148,24.904697039842628,55.2,1.614,6.36978,42.8,0.8,3.2,4.8,3.6,0.0,0.0,0.4,1.6,6.0,8.4,5.6,62.0,2.28,7.4589,65.0,2.0,8.0,8.0,6.0,0.0,0.0,1.0,2.0,8.0,9.0,6.0,45.0,1.17,5.6437,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,5.0,69.36,0.2957039999999999,0.7907882496,328.56000000000006,0.96,15.36,15.36,8.64,0.0,0.0,0.24,0.24,6.0,0.24,0.24,False
0.0,5.281816919616045,mp-31154,140,31.523905543080765,42.5,1.3375,7.734787499999999,37.75,0.0,3.75,0.0,5.25,0.0,0.0,0.0,2.0,0.0,11.0,4.75,80.0,1.9,10.4375,74.0,0.0,10.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,26.0,6.0,20.0,1.0,6.11316,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,843.75,0.1898437499999999,4.38279291459375,788.4375,0.0,23.4375,0.0,45.9375,0.0,0.0,0.0,0.0,0.0,135.0,0.9375,False
0.3499000000000003,4.087239827500118,mp-181,119,25.21613412418223,28.0,1.5625,5.584641575,63.25,0.0,7.5,0.0,0.0,3.75,0.75,0.25,1.75,4.0,10.0,4.0,31.0,1.81,5.999301,81.0,0.0,10.0,0.0,0.0,5.0,1.0,1.0,2.0,5.0,13.0,4.0,19.0,0.82,4.3406633,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,27.0,0.18376875,0.5158273162239918,945.1875,0.0,18.75,0.0,0.0,4.6875,0.1875,0.1875,0.1875,3.0,27.0,0.0,False
4.355300000000001,3.385258566357804,mp-30031,164,48.05253283082072,41.99999999999999,2.106666666666667,9.005226666666665,69.99999999999999,0.0,6.666666666666666,0.0,0.0,0.6666666666666666,3.333333333333333,0.0,2.0,0.6666666666666666,11.999999999999998,4.666666666666666,53.0,2.66,10.45126,97.0,0.0,10.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,17.0,5.0,20.0,1.0,6.11316,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,242.0,0.6123555555555557,4.182024802222221,1458.0,0.0,22.22222222222222,0.0,0.0,0.2222222222222222,5.555555555555555,0.0,0.0,0.2222222222222222,50.0,0.2222222222222222,False
0.0,3.999969394772093,mp-571035,65,27.56765025224132,28.800000000000004,2.9680000000000004,12.061750000000002,91.8,0.8,1.2000000000000002,0.0,2.8000000000000003,0.8,4.0,0.0,2.0,1.6,10.0,3.6000000000000005,76.0,3.16,12.96763,99.0,4.0,6.0,0.0,14.0,1.0,5.0,0.0,2.0,4.0,22.0,6.0,17.0,2.2,8.43823,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,3.0,556.96,0.147456,3.282474297599999,207.36,2.5600000000000005,5.76,0.0,31.36,0.16,4.0,0.0,0.0,1.44,36.0,1.44,False
2.9207,3.101453391583215,mp-23189,176,52.4060686985081,41.0,2.505,9.91295,94.25,0.0,7.5,0.0,0.0,2.0,4.0,0.0,2.0,2.0,13.5,4.25,53.0,2.66,10.45126,97.0,0.0,10.0,0.0,0.0,5.0,5.0,0.0,2.0,5.0,17.0,5.0,5.0,2.04,8.29802,86.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,432.0,0.072075,0.8693329683000002,22.6875,0.0,18.75,0.0,0.0,3.0,3.0,0.0,0.0,3.0,36.75,1.6875,True
2.0148,4.657090565201361,mp-643265,2,14.226616524927076,17.25,3.72,16.22414,96.5,0.625,0.625,0.0,1.75,0.875,4.375,0.0,2.0,1.5,8.75,2.5,75.0,3.98,17.4228,102.0,5.0,5.0,0.0,14.0,1.0,5.0,0.0,2.0,5.0,21.0,6.0,9.0,1.9,7.83352,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,7.0,2.0,476.4375,0.4732,10.057500569199997,211.75,2.734375,2.734375,0.0,21.4375,0.109375,2.734375,0.0,0.0,1.75,21.4375,1.75,True
