ID,formula,Space_Group,Space_Group_No,ave:atomic_number,ave:en_pauling,ave:first_ion_en,ave:mendeleev_number,ave:num_unfilled,ave:num_valance,ave:num_d_unfilled,ave:num_d_valence,ave:num_f_unfilled,ave:num_f_valence,ave:num_p_unfilled,ave:num_p_valence,ave:num_s_unfilled,ave:num_s_valence,ave:period,sum:atomic_number,sum:en_pauling,sum:first_ion_en,sum:mendeleev_number,sum:num_unfilled,sum:num_valance,sum:num_d_unfilled,sum:num_d_valence,sum:num_f_unfilled,sum:num_f_valence,sum:num_p_unfilled,sum:num_p_valence,sum:num_s_unfilled,sum:num_s_valence,sum:period,var:atomic_number,var:en_pauling,var:first_ion_en,var:mendeleev_number,var:num_unfilled,var:num_valance,var:num_d_unfilled,var:num_d_valence,var:num_f_unfilled,var:num_f_valence,var:num_p_unfilled,var:num_p_valence,var:num_s_unfilled,var:num_s_valence,var:period,max:atomic_number,max:en_pauling,max:first_ion_en,max:mendeleev_number,max:num_unfilled,max:num_valance,max:num_d_unfilled,max:num_d_valence,max:num_f_unfilled,max:num_f_valence,max:num_p_unfilled,max:num_p_valence,max:num_s_unfilled,max:num_s_valence,max:period,min:atomic_number,min:en_pauling,min:first_ion_en,min:mendeleev_number,min:num_unfilled,min:num_valance,min:num_d_unfilled,min:num_d_valence,min:num_f_unfilled,min:num_f_valence,min:num_p_unfilled,min:num_p_valence,min:num_s_unfilled,min:num_s_valence,min:period,Density(g/cm^3),Volume(A^3/atoms),Band_gap,Flag
mp-23299,Rb1Cl1,Pm-3m,221,27.0,1.99,8.572379,54.0,1.0,4.0,0.0,0.0,0.0,0.0,0.5,2.5,0.5,1.5,4.0,54.0,3.98,17.144758,108.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0,8.0,100.0,1.3689,19.318231353001,2025.0,0.0,9.0,0.0,0.0,0.0,0.0,0.25,6.25,0.25,0.25,1.0,37.0,3.16,12.96763,99.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,5.0,17.0,0.82,4.177128,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.145937604001693,31.91317464610737,4.7979,False
mp-1439,Ti4O8,Pbcn,60,12.666666666666666,2.806666666666666,11.35474,84.33333333333333,4.0,5.333333333333333,2.6666666666666665,0.6666666666666666,0.0,0.0,1.3333333333333333,2.6666666666666665,0.0,2.0,2.6666666666666665,152.0,33.68,136.25688,1012.0,48.0,64.0,32.0,8.0,0.0,0.0,16.0,32.0,0.0,24.0,32.0,43.55555555555556,0.8022222222222222,10.245144312200006,555.5555555555555,8.0,0.8888888888888888,14.222222222222223,0.888888888888889,0.0,0.0,0.8888888888888888,3.555555555555556,0.0,0.0,0.8888888888888888,22.0,3.44,13.61805,101.0,8.0,6.0,8.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0,8.0,1.54,6.828119999999998,51.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.2002803531672654,10.524716593045078,2.5534000000000003,True
mp-570285,Si8Br32,Pa-3,205,30.8,2.748,11.081376,95.4,1.6,14.400000000000002,0.0,8.0,0.0,0.0,1.6,4.4,0.0,2.0,3.8,1232.0,109.92,443.25504,3816.0,64.0,576.0,0.0,320.0,0.0,0.0,64.0,176.0,0.0,80.0,152.0,70.56,0.179776,2.145779663104,27.040000000000003,1.44,27.04,0.0,16.0,0.0,0.0,1.44,1.44,0.0,0.0,0.16,35.0,2.96,11.8138,98.0,4.0,17.0,0.0,10.0,0.0,0.0,4.0,5.0,0.0,2.0,4.0,14.0,1.9,8.15168,85.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,2.5460974809433576,45.35348144262702,4.1057,False
mp-343,Pr1N1,Fm-3m,225,33.0,2.085,10.00355,65.5,7.0,5.0,0.0,0.0,5.5,1.5,1.5,1.5,0.0,2.0,4.0,66.0,4.17,20.0071,131.0,14.0,10.0,0.0,0.0,11.0,3.0,3.0,3.0,0.0,4.0,8.0,676.0,0.912025,20.5258833025,1190.25,16.0,0.0,0.0,0.0,30.25,2.25,2.25,2.25,0.0,0.0,4.0,59.0,3.04,14.5341,100.0,11.0,5.0,0.0,0.0,11.0,3.0,3.0,3.0,0.0,2.0,6.0,7.0,1.13,5.473,31.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.229507537404175,17.791068673836023,0.4124999999999996,False
mp-7581,Mo1Se2,R3m,160,36.66666666666666,2.42,8.865736666666667,80.66666666666666,3.333333333333333,12.666666666666666,1.6666666666666663,8.333333333333332,0.0,0.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,1.6666666666666663,4.333333333333333,110.0,7.26,26.59721,242.0,10.0,38.0,5.0,25.0,0.0,0.0,4.0,8.0,1.0,5.0,13.0,14.22222222222222,0.0337999999999999,1.5723082670222222,304.22222222222223,3.555555555555556,22.22222222222222,5.555555555555555,5.555555555555555,0.0,0.0,0.8888888888888888,3.555555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,42.0,2.55,9.75239,93.0,6.0,16.0,5.0,10.0,0.0,0.0,2.0,4.0,1.0,2.0,5.0,34.0,2.16,7.09243,56.0,2.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.969894301300954,23.537236795812472,1.4808999999999997,False
mp-16705,Pr16O24,Ia-3,206,28.4,2.516,10.36003,73.0,5.6000000000000005,5.6,0.0,0.0,4.4,1.2000000000000002,1.2,2.4,0.0,2.0,3.6000000000000005,1136.0,100.64,414.4012,2920.0,224.0,224.0,0.0,0.0,176.0,48.0,48.0,96.0,0.0,80.0,144.0,624.24,1.280664,15.9220414806,1176.0,19.44,0.24,0.0,0.0,29.04,2.16,0.96,3.84,0.0,0.0,3.84,59.0,3.44,13.61805,101.0,11.0,6.0,0.0,0.0,11.0,3.0,2.0,4.0,0.0,2.0,6.0,8.0,1.13,5.473,31.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,6.089592423906981,17.987023213310696,3.6593,False
mp-28319,Pt4I8,P2_1/c,14,61.33333333333333,2.506666666666667,9.953773333333332,87.33333333333331,1.3333333333333333,19.33333333333333,0.3333333333333333,9.666666666666666,0.0,4.666666666666666,0.6666666666666666,3.333333333333333,0.3333333333333333,1.6666666666666663,5.333333333333333,736.0,30.08,119.44528,1048.0,16.0,232.0,4.0,116.0,0.0,56.0,8.0,40.0,4.0,20.0,64.0,138.88888888888889,0.0470222222222222,0.4949859670222218,186.88888888888889,0.2222222222222222,10.88888888888889,0.2222222222222222,0.2222222222222222,0.0,43.55555555555556,0.2222222222222222,5.555555555555555,0.2222222222222222,0.2222222222222222,0.2222222222222222,78.0,2.66,10.45126,97.0,2.0,24.0,1.0,10.0,0.0,14.0,1.0,5.0,1.0,2.0,6.0,53.0,2.2,8.9588,68.0,1.0,17.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,6.6672644977406375,37.26687128549386,1.2521,False
mp-1009009,Li1F1,Pm-3m,221,6.0,2.48,11.4072595,57.0,1.0,4.0,0.0,0.0,0.0,0.0,0.5,2.5,0.5,1.5,2.0,12.0,4.96,22.814519,114.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,3.0,4.0,9.0,2.25,36.18672750714025,2025.0,0.0,9.0,0.0,0.0,0.0,0.0,0.25,6.25,0.25,0.25,0.0,9.0,3.98,17.4228,102.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,5.0,1.0,2.0,2.0,3.0,0.98,5.391719,12.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.5687798004040814,8.384018040610837,7.519500000000001,False
mp-558110,Ti1S2,R-3m,166,18.0,2.2333333333333334,9.182713333333332,79.66666666666666,4.0,5.333333333333333,2.6666666666666665,0.6666666666666666,0.0,0.0,1.3333333333333333,2.6666666666666665,0.0,2.0,3.333333333333333,54.0,6.7,27.54814,239.0,12.0,16.0,8.0,2.0,0.0,0.0,4.0,8.0,0.0,6.0,10.0,8.0,0.2403555555555555,2.7720548826888924,410.8888888888889,8.0,0.8888888888888888,14.222222222222223,0.888888888888889,0.0,0.0,0.8888888888888888,3.555555555555556,0.0,0.0,0.2222222222222222,22.0,2.58,10.36001,94.0,8.0,6.0,8.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0,16.0,1.54,6.828119999999998,51.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.1452723183333924,28.89693649498692,0.0193,False
mp-995193,Si6H2,P-3m1,164,10.75,1.975,9.51337075,89.5,3.25,3.25,0.0,0.0,0.0,0.0,3.0,1.5,0.25,1.75,2.5,86.0,15.8,76.106966,716.0,26.0,26.0,0.0,0.0,0.0,0.0,24.0,12.0,2.0,14.0,20.0,31.6875,0.016875,5.562605095906685,60.75,1.6875,1.6875,0.0,0.0,0.0,0.0,3.0,0.75,0.1875,0.1875,0.75,14.0,2.2,13.598443,103.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,2.0,3.0,1.0,1.9,8.15168,85.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.939858891153836,18.246808344852912,0.9321000000000002,False
mp-2682,Sb8Rh4,P2_1/c,14,49.0,2.1266666666666665,8.225226666666666,80.33333333333333,3.0,13.0,0.6666666666666666,9.333333333333332,0.0,0.0,2.0,2.0,0.3333333333333333,1.6666666666666663,5.0,588.0,25.52,98.70272,964.0,36.0,156.0,8.0,112.0,0.0,0.0,24.0,24.0,4.0,20.0,60.0,8.0,0.0117555555555555,0.2936282800222223,117.55555555555556,0.0,8.0,0.888888888888889,0.8888888888888888,0.0,0.0,2.0,2.0,0.2222222222222222,0.2222222222222222,0.0,51.0,2.28,8.60839,88.0,3.0,15.0,2.0,10.0,0.0,0.0,3.0,3.0,1.0,2.0,5.0,45.0,2.05,7.4589,65.0,3.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,8.478685738301188,22.61565428777949,0.0043999999999995,False
mp-1172873,Ge1Te1,R3m,160,42.0,2.055,8.454515,88.0,3.0,15.0,0.0,10.0,0.0,0.0,3.0,3.0,0.0,2.0,4.5,84.0,4.109999999999999,16.90903,176.0,6.0,30.0,0.0,20.0,0.0,0.0,6.0,6.0,0.0,4.0,9.0,100.0,0.002025,0.3081193572249995,16.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.25,52.0,2.1,9.0096,92.0,4.0,16.0,0.0,10.0,0.0,0.0,4.0,4.0,0.0,2.0,5.0,32.0,2.01,7.8994300000000015,84.0,2.0,14.0,0.0,10.0,0.0,0.0,2.0,2.0,0.0,2.0,4.0,5.015197584679304,33.1498746641351,0.9105,False
mp-408,Mg2Ge1,Fm-3m,225,18.666666666666664,1.5433333333333332,7.730633333333334,76.66666666666666,1.3333333333333333,5.999999999999999,0.0,3.333333333333333,0.0,0.0,1.3333333333333333,0.6666666666666666,0.0,2.0,3.333333333333333,56.0,4.63,23.191900000000004,230.0,4.0,18.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,6.0,10.0,88.88888888888889,0.1088888888888888,0.0142461573388889,26.88888888888889,3.555555555555556,32.0,0.0,22.22222222222222,0.0,0.0,3.555555555555556,0.888888888888889,0.0,0.0,0.2222222222222222,32.0,2.01,7.8994300000000015,84.0,4.0,14.0,0.0,10.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0,12.0,1.31,7.646235000000001,73.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0358803533733467,22.106751956537504,0.2505000000000001,False
mp-2599,Nd1N1,Fm-3m,225,33.5,2.09,10.02955,65.0,6.5,5.5,0.0,0.0,5.0,2.0,1.5,1.5,0.0,2.0,4.0,67.0,4.18,20.0591,130.0,13.0,11.0,0.0,0.0,10.0,4.0,3.0,3.0,0.0,4.0,8.0,702.25,0.9025,20.2909707025,1225.0,12.25,0.25,0.0,0.0,25.0,4.0,2.25,2.25,0.0,0.0,4.0,60.0,3.04,14.5341,100.0,10.0,6.0,0.0,0.0,10.0,4.0,3.0,3.0,0.0,2.0,6.0,7.0,1.14,5.525,30.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,7.627429945917087,17.225864442670286,0.4303999999999996,False
mp-636827,Ti2O4,Pmm2,25,12.666666666666666,2.806666666666666,11.35474,84.33333333333333,4.0,5.333333333333333,2.6666666666666665,0.6666666666666666,0.0,0.0,1.3333333333333333,2.6666666666666665,0.0,2.0,2.6666666666666665,76.0,16.84,68.12844,506.0,24.0,32.0,16.0,4.0,0.0,0.0,8.0,16.0,0.0,12.0,16.0,43.55555555555556,0.8022222222222222,10.245144312200006,555.5555555555555,8.0,0.8888888888888888,14.222222222222223,0.888888888888889,0.0,0.0,0.8888888888888888,3.555555555555556,0.0,0.0,0.8888888888888888,22.0,3.44,13.61805,101.0,8.0,6.0,8.0,2.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0,8.0,1.54,6.828119999999998,51.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.401379572198959,31.54517248960196,2.7867,True
mp-685047,V23Se40,C2/m,12,29.98412698412698,2.214126984126984,8.654888412698412,78.76190476190476,3.825396825396825,11.984126984126984,2.555555555555556,7.444444444444444,0.0,0.0,1.2698412698412698,2.5396825396825395,0.0,2.0,4.0,1889.0,139.49,545.25797,4962.0,241.0,755.0,161.0,469.0,0.0,0.0,80.0,160.0,0.0,126.0,252.0,28.047367094986143,0.1961924918115394,2.094799537616528,352.562358276644,5.794910556815319,28.047367094986143,11.358024691358024,11.358024691358024,0.0,0.0,0.9271856890904508,3.7087427563618034,0.0,0.0,0.0,34.0,2.55,9.75239,93.0,7.0,16.0,7.0,10.0,0.0,0.0,2.0,4.0,0.0,2.0,4.0,23.0,1.63,6.74619,54.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,5.67210604646895,20.12137100190124,0.0,False
mp-473,Na12P44,Pbcn,60,14.142857142857142,1.92,9.340772714285713,73.07142857142857,2.571428571428572,4.142857142857142,0.0,0.0,0.0,0.0,2.357142857142857,2.357142857142857,0.2142857142857142,1.7857142857142856,3.0,792.0,107.52,523.083272,4092.0,144.0,232.0,0.0,0.0,0.0,0.0,132.0,132.0,12.0,100.0,168.0,2.6938775510204085,0.2672999999999999,4.814796894228916,1050.7806122448978,0.673469387755102,2.6938775510204085,0.0,0.0,0.0,0.0,1.5153061224489794,1.5153061224489794,0.1683673469387755,0.1683673469387755,0.0,15.0,2.19,10.48669,90.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,11.0,0.93,5.139076,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.046217315692844,23.747330713733287,1.9682,False
