Band gap,Density(g/cm^3),Space Group No,Volume(A^3/atoms),ave:atomic_number,ave:en_pauling,ave:first_ion_en,ave:mendeleev_number,ave:num_d_unfilled,ave:num_d_valence,ave:num_f_unfilled,ave:num_f_valence,ave:num_p_unfilled,ave:num_p_valence,ave:num_s_unfilled,ave:num_s_valence,ave:num_unfilled,ave:num_valance,ave:period,max:atomic_number,max:en_pauling,max:first_ion_en,max:mendeleev_number,max:num_d_unfilled,max:num_d_valence,max:num_f_unfilled,max:num_f_valence,max:num_p_unfilled,max:num_p_valence,max:num_s_unfilled,max:num_s_valence,max:num_unfilled,max:num_valance,max:period,min:atomic_number,min:en_pauling,min:first_ion_en,min:mendeleev_number,min:num_d_unfilled,min:num_d_valence,min:num_f_unfilled,min:num_f_valence,min:num_p_unfilled,min:num_p_valence,min:num_s_unfilled,min:num_s_valence,min:num_unfilled,min:num_valance,min:period,var:atomic_number,var:en_pauling,var:first_ion_en,var:mendeleev_number,var:num_d_unfilled,var:num_d_valence,var:num_f_unfilled,var:num_f_valence,var:num_p_unfilled,var:num_p_valence,var:num_s_unfilled,var:num_s_valence,var:num_unfilled,var:num_valance,var:period
4.9116,4.655344721,136,11.49631049,15.33333333,3.29,14.1618,90.33333333,0.666666667,2.666666667,0,0,0.666666667,3.333333333,0,2,1.333333333,8,2.666666667,28,3.98,17.4228,102,2,8,0,0,1,5,0,2,2,10,4,9,1.91,7.6398,67,0,0,0,0,0,0,0,2,1,7,2,80.22222222,0.9522,21.268242,272.2222222,0.888888889,14.22222222,0,0,0.222222222,5.555555556,0,0,0.222222222,2,0.888888889
4.9243,1.398552715,176,34.77680086,14,2.88,11.8002275,95.75,0,0,0,0,2,4,0,2,2,6,2.75,17,3.16,12.96763,99,0,0,0,0,5,5,0,2,5,7,3,5,2.04,8.29802,86,0,0,0,0,1,1,0,2,1,3,2,27,0.2352,4.088485791,31.6875,0,0,0,0,3,3,0,0,3,3,0.1875
4.9516,3.959672836,167,28.86098302,30,2.6825,11.2718,79.5,0,0,0.25,3.25,0.75,3.75,0,2,1,9,3.75,69,3.16,12.96763,99,0,0,1,13,1,5,0,2,1,15,6,17,1.25,6.18431,21,0,0,0,0,0,0,0,2,1,7,3,507,0.68401875,8.627518167,1140.75,0,0,0.1875,31.6875,0.1875,4.6875,0,0,0,12,1.6875
4.9562,2.376163038,36,28.27195249,18,2.58,12.7061215,100.5,0,5,0,0,0.5,2.5,0.5,1.5,1,9,2.5,35,2.96,13.598443,103,0,10,0,0,1,5,1,2,1,17,4,1,2.2,11.8138,98,0,0,0,0,0,0,0,1,1,1,1,289,0.1444,0.796237659,6.25,0,25,0,0,0.25,6.25,0.25,0.25,0,64,2.25
4.9889,2.299410481,12,35.25142131,22.5,2.675,11.2800475,80.5,2.25,0.25,0,0,0.75,3.75,0,2,3,6,3.5,39,3.16,12.96763,99,9,1,0,0,1,5,0,2,9,7,5,17,1.22,6.2173,25,0,0,0,0,0,0,0,2,1,3,3,90.75,0.705675,8.543804083,1026.75,15.1875,0.1875,0,0,0.1875,4.6875,0,0,12,3,0.75
5.0037,2.105198021,225,23.0480741,14,2.045,9.053353,55,0,0,0,0,0.5,2.5,0.5,1.5,1,4,3,17,3.16,12.96763,99,0,0,0,0,1,5,1,2,1,7,3,11,0.93,5.139076,11,0,0,0,0,0,0,0,1,1,1,3,9,1.243225,15.32156443,1936,0,0,0,0,0.25,6.25,0.25,0.25,0,9,0
5.2014,2.144360044,14,15.49853725,10,3.225,12.80354,99.25,0,0,0,0,2,4,0,2,2,6,2.25,16,3.44,13.61805,101,0,0,0,0,2,4,0,2,2,6,3,8,2.58,10.36001,94,0,0,0,0,2,4,0,2,2,6,2,12,0.138675,1.99027962,9.1875,0,0,0,0,0,0,0,0,0,0,0.1875
5.2021,2.508087027,43,13.42520665,10,3.082857143,12.72337571,97.85714286,0,0,0,0,2.285714286,3.714285714,0,2,2.285714286,5.714285714,2.285714286,15,3.44,13.61805,101,0,0,0,0,3,4,0,2,3,6,3,8,2.19,10.48669,90,0,0,0,0,2,3,0,2,2,5,2,10,0.318877551,2.001105194,24.69387755,0,0,0,0,0.204081633,0.204081633,0,0,0.204081633,0.204081633,0.204081633
5.3195,2.755687204,72,33.9095706,24.66666667,2.496666667,10.98343333,91,0,6.666666667,0,0,0.666666667,3.333333333,0,2,0.666666667,12,3.333333333,35,2.96,11.8138,98,0,10,0,0,1,5,0,2,1,17,4,4,1.57,9.3227,77,0,0,0,0,0,0,0,2,0,2,2,213.5555556,0.429355556,1.379017602,98,0,22.22222222,0,0,0.222222222,5.555555556,0,0,0.222222222,50,0.888888889
5.3259,0.80754331,72,7.559028577,2,1.99,12.17319533,94.33333333,0,0,0,0,0,0,0.666666667,1.333333333,0.666666667,1.333333333,1.333333333,4,2.2,13.598443,103,0,0,0,0,0,0,1,2,1,2,2,1,1.57,9.3227,77,0,0,0,0,0,0,0,1,0,1,1,2,0.0882,4.062661823,150.2222222,0,0,0,0,0,0,0.222222222,0.222222222,0.222222222,0.222222222,0.222222222
5.3533,2.104899128,136,29.18323609,18,2.44,10.68280667,71.33333333,0,0,0,0,0.666666667,3.333333333,0,2,0.666666667,5.333333333,3.333333333,20,3.16,12.96763,99,0,0,0,0,1,5,0,2,1,7,4,17,1,6.11316,16,0,0,0,0,0,0,0,2,0,2,3,2,1.0368,10.44083533,1530.888889,0,0,0,0,0.222222222,5.555555556,0,0,0.222222222,5.555555556,0.222222222
5.3752,2.215099431,12,24.98784315,16,2.7725,11.2221645,94.25,0,0,0,0,2,4,0,2,2,6,3,17,3.16,12.96763,99,0,0,0,0,5,5,0,2,5,7,3,13,1.61,5.985768,80,0,0,0,0,1,1,0,2,1,3,3,3,0.45046875,9.139949435,67.6875,0,0,0,0,3,3,0,0,3,3,0
5.3995,4.77320975,136,28.28949971,34.66666667,2.586339773,10.72980667,71.66666667,0,0,0,4.666666667,0.666666667,3.333333333,0,2,0.666666667,10,4,70,3.16,12.96763,99,0,0,0,14,1,5,0,2,1,16,6,17,1.439019319,6.25416,17,0,0,0,0,0,0,0,2,0,7,3,624.2222222,0.658172112,10.01570654,1494.222222,0,0,0,43.55555556,0.222222222,5.555555556,0,0,0.222222222,18,2
5.418,3.063384886,33,17.87671282,15,3.53,15.51425,98.75,0,2.5,0,0,1.5,4.5,0,2,1.5,9,2.5,33,3.98,17.4228,102,0,10,0,0,3,5,0,2,3,15,4,9,2.18,9.7886,89,0,0,0,0,1,3,0,2,1,7,2,108,0.6075,10.92768931,31.6875,0,18.75,0,0,0.75,0.75,0,0,0.75,12,0.75
5.5389,4.406028852,225,28.62467477,32,2.385,10.6583525,55,0,0,0,0,0.5,2.5,0.5,1.5,1,4,4,55,3.98,17.4228,102,0,0,0,0,1,5,1,2,1,7,6,9,0.79,3.893905,8,0,0,0,0,0,0,0,1,1,1,2,529,2.544025,45.75774998,2209,0,0,0,0,0.25,6.25,0.25,0.25,0,9,4
5.5555,3.394063923,225,33.95821609,30,2.403333333,10.382308,70.66666667,0,0,0,0,0.666666667,3.333333333,0,2,0.666666667,5.333333333,4,56,3.16,12.96763,99,0,0,0,0,1,5,0,2,1,7,6,17,0.89,5.211664,14,0,0,0,0,0,0,0,2,0,2,3,338,1.145088889,13.36777969,1605.555556,0,0,0,0,0.222222222,5.555555556,0,0,0.222222222,5.555555556,2
5.5675,3.671084548,225,23.62656176,23,2.4,10.799964,55.5,0,0,0,0,0.5,2.5,0.5,1.5,1,4,3.5,37,3.98,17.4228,102,0,0,0,0,1,5,1,2,1,7,5,9,0.82,4.177128,9,0,0,0,0,0,0,0,1,1,1,2,196,2.4964,43.86195668,2162.25,0,0,0,0,0.25,6.25,0.25,0.25,0,9,2.25
5.6009,1.548269933,14,36.44076182,16.4,2.908,12.00444,96.2,0,0,0,0,1.6,4.4,0,2,1.6,6.4,3,17,3.16,12.96763,99,0,0,0,0,4,5,0,2,4,7,3,14,1.9,8.15168,85,0,0,0,0,1,2,0,2,1,4,3,1.44,0.254016,3.710939904,31.36,0,0,0,0,1.44,1.44,0,0,1.44,1.44,1.97E-31
5.6748,0.958076546,36,10.407871,3.333333333,2.613333333,13.60497867,102.3333333,0,0,0,0,0.666666667,1.333333333,0.666666667,1.333333333,1.333333333,2.666666667,1.333333333,8,3.44,13.61805,103,0,0,0,0,2,4,1,2,2,6,2,1,2.2,13.598443,101,0,0,0,0,0,0,0,1,1,1,1,10.88888889,0.341688889,8.54E-05,0.888888889,0,0,0,0,0.888888889,3.555555556,0.222222222,0.222222222,0.222222222,5.555555556,0.222222222
5.7789,9.017005138,139,10.40158673,24,3.2975,14.6131775,81.75,0,0,0.25,3.25,0.75,3.75,0,2,1,9,3,69,3.98,17.4228,102,0,0,1,13,1,5,0,2,1,15,6,9,1.25,6.18431,21,0,0,0,0,0,0,0,2,1,7,2,675,1.39741875,23.68193578,1230.1875,0,0,0.1875,31.6875,0.1875,4.6875,0,0,0,12,3
5.8139,2.257178041,229,15.34928141,10,3.78,16.41383,100.8571429,0,0,0,0,1.142857143,4.857142857,0,2,1.142857143,6.857142857,2.142857143,16,3.98,17.4228,102,0,0,0,0,2,5,0,2,2,7,3,9,2.58,10.36001,94,0,0,0,0,1,4,0,2,1,6,2,6,0.24,6.108122765,7.836734694,0,0,0,0,0.12244898,0.12244898,0,0,0.12244898,0.12244898,0.12244898
5.8335,5.792260346,194,14.04031898,21,3.26,14.461325,84.75,2.25,0.25,0,0,0.75,3.75,0,2,3,6,3,57,3.98,17.4228,102,9,1,0,0,1,5,0,2,9,7,6,9,1.1,5.5769,33,0,0,0,0,0,0,0,2,1,3,2,432,1.5552,26.31100253,892.6875,15.1875,0.1875,0,0,0.1875,4.6875,0,0,12,3,3
5.9494,2.418273277,225,19.94643165,14,2.4,10.88173165,56,0,0,0,0,0.5,2.5,0.5,1.5,1,4,3,19,3.98,17.4228,102,0,0,0,0,1,5,1,2,1,7,4,9,0.82,4.3406633,10,0,0,0,0,0,0,0,1,1,1,2,25,2.4964,42.78557516,2116,0,0,0,0,0.25,6.25,0.25,0.25,0,9,1
5.9998,1.217281572,36,24.8668569,9,2.68,13.2830365,101,0,0,0,0,0.5,2.5,0.5,1.5,1,4,2,17,3.16,13.598443,103,0,0,0,0,1,5,1,2,1,7,3,1,2.2,12.96763,99,0,0,0,0,0,0,0,1,1,1,1,64,0.2304,0.09948126,4,0,0,0,0,0.25,6.25,0.25,0.25,0,9,1
6.0951,2.692672579,225,12.9468026,10,2.455,11.280938,56.5,0,0,0,0,0.5,2.5,0.5,1.5,1,4,2.5,11,3.98,17.4228,102,0,0,0,0,1,5,1,2,1,7,3,9,0.93,5.139076,11,0,0,0,0,0,0,0,1,1,1,2,1,2.325625,37.72246883,2070.25,0,0,0,0,0.25,6.25,0.25,0.25,0,9,0.25
6.2532,2.058049406,225,17.10120536,10,2.07,9.1796745,55.5,0,0,0,0,0.5,2.5,0.5,1.5,1,4,2.5,17,3.16,12.96763,99,0,0,0,0,1,5,1,2,1,7,3,3,0.98,5.391719,12,0,0,0,0,0,0,0,1,1,1,2,49,1.1881,14.34860687,1892.25,0,0,0,0,0.25,6.25,0.25,0.25,0,9,0.25
6.4928,1.658204228,72,26.67490123,12.66666667,2.63,11.75265333,91.66666667,0,0,0,0,0.666666667,3.333333333,0,2,0.666666667,5.333333333,2.666666667,17,3.16,12.96763,99,0,0,0,0,1,5,0,2,1,7,3,4,1.57,9.3227,77,0,0,0,0,0,0,0,2,0,2,2,37.55555556,0.5618,2.952336601,107.5555556,0,0,0,0,0.222222222,5.555555556,0,0,0.222222222,5.555555556,0.222222222
6.5621,0.737382403,14,14.46509518,3.6,2.14,12.5090904,99.4,0,0,0,0,0.8,0.4,0.8,1.2,1.6,1.6,1.4,14,2.2,13.598443,103,0,0,0,0,4,2,1,2,4,4,3,1,1.9,8.15168,85,0,0,0,0,0,0,0,1,1,1,1,27.04,0.0144,4.746756349,51.84,0,0,0,0,2.56,0.64,0.16,0.16,1.44,1.44,0.64
6.5914,2.511823479,221,16.84969256,12,3.325,14.7074725,81.25,2.25,0.25,0,0,0.75,3.75,0,2,3,6,2.5,21,3.98,17.4228,102,9,1,0,0,1,5,0,2,9,7,4,9,1.36,6.56149,19,0,0,0,0,0,0,0,2,1,3,2,27,1.287075,22.1190103,1291.6875,15.1875,0.1875,0,0,0.1875,4.6875,0,0,12,3,0.75
6.6402,1.496099437,205,16.28204249,7.333333333,3.143333333,12.83213333,99,0,0,0,0,2.666666667,3.333333333,0,2,2.666666667,5.333333333,2,8,3.44,13.61805,101,0,0,0,0,4,4,0,2,4,6,2,6,2.55,11.2603,95,0,0,0,0,2,2,0,2,2,4,2,0.888888889,0.176022222,1.235330014,8,0,0,0,0,0.888888889,0.888888889,0,0,0.888888889,0.888888889,0
6.7331,7.541955484,136,15.48926799,29.33333333,3.13300644,13.69992,73.66666667,0,0,0,4.666666667,0.666666667,3.333333333,0,2,0.666666667,10,3.333333333,70,3.98,17.4228,102,0,0,0,14,1,5,0,2,1,16,6,9,1.439019319,6.25416,17,0,0,0,0,0,0,0,2,0,7,2,826.8888889,1.434796183,27.71967099,1605.555556,0,0,0,43.55555556,0.222222222,5.555555556,0,0,0.222222222,18,3.555555556
6.7393,1.721546503,36,9.648712363,5,3.09,15.5106215,102.5,0,0,0,0,0.5,2.5,0.5,1.5,1,4,1.5,9,3.98,17.4228,103,0,0,0,0,1,5,1,2,1,7,2,1,2.2,13.598443,102,0,0,0,0,0,0,0,1,1,1,1,16,0.7921,3.656426616,0.25,0,0,0,0,0.25,6.25,0.25,0.25,0,9,0.25
6.824,3.034476001,136,11.36435454,10,3.09,14.163945,92.33333333,0,0,0,0,0.666666667,3.333333333,0,2,0.666666667,5.333333333,2.333333333,12,3.98,17.4228,102,0,0,0,0,1,5,0,2,1,7,3,9,1.31,7.646235,73,0,0,0,0,0,0,0,2,0,2,2,2,1.5842,21.24027182,186.8888889,0,0,0,0,0.222222222,5.555555556,0,0,0.222222222,5.555555556,0.222222222
6.8626,4.133836704,225,16.81985601,18.66666667,2.97,13.51348333,73,0,0,0,0,0.666666667,3.333333333,0,2,0.666666667,5.333333333,3,38,3.98,17.4228,102,0,0,0,0,1,5,0,2,1,7,5,9,0.95,5.69485,15,0,0,0,0,0,0,0,2,0,2,2,186.8888889,2.0402,30.5655136,1682,0,0,0,0,0.222222222,5.555555556,0,0,0.222222222,5.555555556,2
7.3595,0.5069508,119,13.15639983,2.444444444,2.166666667,12.99324711,101,0,0,0,0,0.444444444,0.222222222,0.888888889,1.111111111,1.333333333,1.333333333,1.222222222,14,2.2,13.598443,103,0,0,0,0,4,2,1,2,4,4,3,1,1.9,8.15168,85,0,0,0,0,0,0,0,1,1,1,1,16.69135802,0.008888889,2.930096511,32,0,0,0,0,1.580246914,0.395061728,0.098765432,0.098765432,0.888888889,0.888888889,0.395061728
7.3665,3.089832601,225,13.98633117,12.66666667,2.986666667,13.65292,73.33333333,0,0,0,0,0.666666667,3.333333333,0,2,0.666666667,5.333333333,2.666666667,20,3.98,17.4228,102,0,0,0,0,1,5,0,2,1,7,4,9,1,6.11316,16,0,0,0,0,0,0,0,2,0,2,2,26.88888889,1.973422222,28.42399043,1643.555556,0,0,0,0,0.222222222,5.555555556,0,0,0.222222222,5.555555556,0.888888889
7.5923,3.021262143,167,11.53877619,10,3.3875,14.563542,96.5,0,0,0,0,2,4,0,2,2,6,2.25,13,3.98,17.4228,102,0,0,0,0,5,5,0,2,5,7,3,9,1.61,5.985768,80,0,0,0,0,1,1,0,2,1,3,2,3,1.05316875,24.52606893,90.75,0,0,0,0,3,3,0,0,3,3,0.1875
7.5975,4.778107616,62,12.67627333,16.5,3.29,14.621425,82.75,2.25,0.25,0,0,0.75,3.75,0,2,3,6,2.75,39,3.98,17.4228,102,9,1,0,0,1,5,0,2,9,7,5,9,1.22,6.2173,25,0,0,0,0,0,0,0,2,1,3,2,168.75,1.4283,23.54310567,1111.6875,15.1875,0.1875,0,0,0.1875,4.6875,0,0,12,3,1.6875
7.6665,7.477902631,62,12.44944252,23.75,3.295,14.594025,82,0,0,0.5,3,0.75,3.75,0,2,1.25,8.75,3,68,3.98,17.4228,102,0,0,2,12,1,5,0,2,2,14,6,9,1.24,6.1077,22,0,0,0,0,0,0,0,2,1,7,2,652.6875,1.407675,24.005904,1200,0,0,0.75,27,0.1875,4.6875,0,0,0.1875,9.1875,3
7.8208,7.58260969,62,12.15003948,23.5,3.2925,14.572475,82.25,0,0,0.75,2.75,0.75,3.75,0,2,1.5,8.5,3,67,3.98,17.4228,102,0,0,3,11,1,5,0,2,3,13,6,9,1.23,6.0215,23,0,0,0,0,0,0,0,2,1,7,2,630.75,1.41796875,24.37305782,1170.1875,0,0,1.6875,22.6875,0.1875,4.6875,0,0,0.75,6.75,3
7.8224,7.163535574,62,12.51283395,23,3.310151612,14.53305,83,0,0,1.25,2.25,0.75,3.75,0,2,2,8,3,65,3.98,17.4228,102,0,0,5,9,1,5,0,2,5,11,6,9,1.300606449,5.8638,26,0,0,0,0,0,0,0,2,1,7,2,588,1.346090588,25.05196519,1083,0,0,4.6875,15.1875,0.1875,4.6875,0,0,3,3,3
7.9162,6.510593869,62,13.22158289,22.25,3.2775,14.478025,83.5,0,0,2,1.5,0.75,3.75,0,2,2.75,7.25,3,62,3.98,17.4228,102,0,0,8,6,1,5,0,2,8,8,6,9,1.17,5.6437,28,0,0,0,0,0,0,0,2,1,7,2,526.6875,1.48051875,26.0150994,1026.75,0,0,12,6.75,0.1875,4.6875,0,0,9.1875,0.1875,3
8.1875,1.975672628,217,17.49546963,10,3.564,15.568576,98.6,0,0,0,0,1.6,4.4,0,2,1.6,6.4,2.2,14,3.98,17.4228,102,0,0,0,0,4,5,0,2,4,7,3,9,1.9,8.15168,85,0,0,0,0,1,2,0,2,1,4,2,4,0.692224,13.75258657,46.24,0,0,0,0,1.44,1.44,0,0,1.44,1.44,0.16
8.4539,1.407703826,1,9.677696433,4.2,2.912,15.1281858,102.6,0,0,0,0,0.4,2,0.6,1.4,1,3.4,1.4,9,3.98,17.4228,103,0,0,0,0,1,5,1,2,1,7,2,1,2.2,13.598443,102,0,0,0,0,0,0,0,1,1,1,1,15.36,0.760416,3.510169551,0.24,0,0,0,0,0.24,6,0.24,0.24,0,8.64,0.24
8.7173,2.53033264,225,8.511080938,6,2.48,11.4072595,57,0,0,0,0,0.5,2.5,0.5,1.5,1,4,2,9,3.98,17.4228,102,0,0,0,0,1,5,1,2,1,7,2,3,0.98,5.391719,12,0,0,0,0,0,0,0,1,1,1,2,9,2.25,36.18672751,2025,0,0,0,0,0.25,6.25,0.25,0.25,0,9,0
